[Fri Aug 22 16:36:41 2025] Event: created, Path: hr_files\HR_myduyen_ly~14142.tmp
[Fri Aug 22 16:36:41 2025] Event: modified, Path: hr_files\HR_myduyen_ly~14142.tmp
[Fri Aug 22 16:36:41 2025] Event: moved, Path: hr_files\HR_myduyen_ly.xlsx
[Fri Aug 22 16:36:41 2025] Event: moved, Path: hr_files\HR_myduyen_ly~14142.tmp
[Fri Aug 22 16:36:41 2025] Event: modified, Path: hr_files\HR_myduyen_ly~014152.tmp
[Fri Aug 22 16:36:41 2025] Event: deleted, Path: hr_files\HR_myduyen_ly~014152.tmp
[Fri Aug 22 16:36:41 2025] Event: modified, Path: hr_files\~$HR_myduyen_ly.xlsx
[Fri Aug 22 16:36:44 2025] Event: deleted, Path: hr_files\~$HR_myduyen_ly.xlsx
[Fri Aug 22 16:36:51 2025] Event: created, Path: hr_files\~$HR_myduyen_ly.xlsx
[Fri Aug 22 16:37:04 2025] Event: created, Path: hr_files\HR_myduyen_ly~1AC6F.tmp
[Fri Aug 22 16:37:04 2025] Event: modified, Path: hr_files\HR_myduyen_ly~1AC6F.tmp
[Fri Aug 22 16:37:04 2025] Event: modified, Path: hr_files\HR_myduyen_ly~1AC6F.tmp
[Fri Aug 22 16:37:04 2025] Event: modified, Path: hr_files\HR_myduyen_ly~1AC6F.tmp
[Fri Aug 22 16:37:04 2025] Event: moved, Path: hr_files\HR_myduyen_ly.xlsx
[Fri Aug 22 16:37:04 2025] Event: moved, Path: hr_files\HR_myduyen_ly~1AC6F.tmp
[Fri Aug 22 16:37:04 2025] Event: modified, Path: hr_files\HR_myduyen_ly~01AC7F.tmp
[Fri Aug 22 16:37:04 2025] Event: deleted, Path: hr_files\HR_myduyen_ly~01AC7F.tmp
[Fri Aug 22 16:37:04 2025] Event: modified, Path: hr_files\~$HR_myduyen_ly.xlsx
[Fri Aug 22 16:37:07 2025] Event: modified, Path: hr_files\~$HR_myduyen_ly.xlsx
[Fri Aug 22 16:37:47 2025] Event: created, Path: hr_files\HR_myduyen_ly~2536D.tmp
[Fri Aug 22 16:37:47 2025] Event: modified, Path: hr_files\HR_myduyen_ly~2536D.tmp
[Fri Aug 22 16:37:47 2025] Event: modified, Path: hr_files\HR_myduyen_ly~2536D.tmp
[Fri Aug 22 16:37:47 2025] Event: modified, Path: hr_files\HR_myduyen_ly~2536D.tmp
[Fri Aug 22 16:37:47 2025] Event: moved, Path: hr_files\HR_myduyen_ly.xlsx
[Fri Aug 22 16:37:47 2025] Event: moved, Path: hr_files\HR_myduyen_ly~2536D.tmp
[Fri Aug 22 16:37:47 2025] Event: modified, Path: hr_files\HR_myduyen_ly~02537D.tmp
[Fri Aug 22 16:37:47 2025] Event: deleted, Path: hr_files\HR_myduyen_ly~02537D.tmp
[Fri Aug 22 16:37:51 2025] Event: deleted, Path: hr_files\~$HR_myduyen_ly.xlsx
[Fri Aug 22 16:38:15 2025] Event: created, Path: hr_files\~$HR_myduyen_ly.xlsx
